#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1005;On this night all young people jump over the flames of bonfires in a ritual test of bravery and faith. Your spouse asking you to join and test your marriage.;;;;;;;;;;;;;x
EVTOPTA_RUTH_1005;As you wish, my love.;;;;;;;;;;;;;x
EVTOPTB_RUTH_1005;Not this time.;;;;;;;;;;;;;x
EVTOPTC_RUTH_1005;I'm too old for this.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1006;While jumping your hands have separated. This is bad omen portends you are not meant to be together.;;;;;;;;;;;;;x
EVTOPTA_RUTH_1006;If the gods wants to divide us than who am I to disagree?;;;;;;;;;;;;;x
EVTOPTB_RUTH_1006;Some foolish belief will not separate us!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1007;While jumping your hands have separated. This bad omen portends you are not meant to be together. My spouse decided to follow the will of Gods.;;;;;;;;;;;;;x
EVTOPTA_RUTH_1007;As The Gods wish...;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1008;There is an ancient belief that the eve of Kupala is the only time of the year when ferns bloom. Prosperity, luck, discernment and power would befall on whoever finds a fern flower. Many young men and women would roam through the forests. Will you join them?;;;;;;;;;;;;;x
EVTOPTA_RUTH_1008;I will find fern flower for my beloved!;;;;;;;;;;;;;x
EVTOPTB_RUTH_1008;I will find fern flower and my true love!;;;;;;;;;;;;;x
EVTOPTC_RUTH_1008;The fern flower is a lie so why would I search for it?;;;;;;;;;;;;;x
EVTOPTD_RUTH_1008;I'm too old for this.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1009;Wandering the forest in search of the fern flower, you instead found a beautiful young woman who sits near the lake. Strange feelings well inside of you while you gaze at her...;;;;;;;;;;;;;x
EVTOPTA_RUTH_1009;Approach the young lady...;;;;;;;;;;;;;x
EVTOPTB_RUTH_1009;I am faithful to my beloved.;;;;;;;;;;;;;x
EVTOPTC_RUTH_1009;She's not worthy of a lord like me.;;;;;;;;;;;;;x
EVTOPTD_RUTH_1009;I must control my desires!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1010;Wandering the forest in search of fern flower, you sat down at near lake to rest. The peaceful silence broke as a young man approached you. Looking at him makes you feel strange inside...;;;;;;;;;;;;;x
EVTOPTA_RUTH_1010;Spend the rest of night with him.;;;;;;;;;;;;;x
EVTOPTB_RUTH_1010;I am faithful to my beloved.;;;;;;;;;;;;;x
EVTOPTC_RUTH_1010;He's not worthy of a Lady like me.;;;;;;;;;;;;;x
EVTOPTD_RUTH_1010;A true Lady must control her desires!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1011;After hours searching for the fern flower you begin to understand that you are lost. From the heart of the deep dark woods you hear howling and every second it draws closer. Too soon a wolf runs out of the darkness towards you!;;;;;;;;;;;;;x
EVTOPTA_RUTH_1011;Come closer!;;;;;;;;;;;;;x
EVTOPTB_RUTH_1011;I'd better run!;;;;;;;;;;;;;x
EVTOPTC_RUTH_1011;I will kill you with my bare hands!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1012;You spent all night in search of fern flower and ended up with nothing but fatigue.;;;;;;;;;;;;;x
EVTOPTA_RUTH_1012;I guess this is not the right night.;;;;;;;;;;;;;x
EVTOPTB_RUTH_1012;Maybe the fern flower exists only in legends...;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1013;After spending all night in search of the mythical fern flower you see something bright under the tree. There is no doubt - you have found the fern flower!;;;;;;;;;;;;;x
EVTOPTA_RUTH_1013;Qui quaerit, reperit!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1014;According to legend two souls will be bound by love if the fern flower will be shared between them...;;;;;;;;;;;;;x
EVTOPTA_RUTH_1014;It is for you, my dear...;;;;;;;;;;;;;x
EVTOPTB_RUTH_1014;This flower is for the most beautiful one.;;;;;;;;;;;;;x
EVTOPTC_RUTH_1014;This flower is for the most handsome one.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1101;Veles is known to send spirits of the dead into the living world as his heralds. Festivals are held in his honour in Winter, when time is coming to its very end, when order breaks and chaos grows stronger, when the borders between worlds of living and dead fade and ancestral spirits return amongst the living.;;;;;;;;;;;;;x
EVTOPTA_RUTH_1101;The celebration of Velja Noc begins now!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1102;With the last of your guests on their way back home the celebration of Velja Noc and Koliada ends.;;;;;;;;;;;;;x
EVTOPTA_RUTH_1102;It was good to see them all...;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1103;The celebration of Velja Noc starts with the ritual of Koliada. People gather into groups, changing their outfit for something special and walking from house to house singing the feast songs, so-called carols.;;;;;;;;;;;;;x
EVTOPTA_RUTH_1103;I will wear a simple outfit...;;;;;;;;;;;;;x
EVTOPTB_RUTH_1103;I will look like one of the gods...;;;;;;;;;;;;;x
EVTOPTC_RUTH_1103;I will wear my best outfit to represent myself...;;;;;;;;;;;;;x
EVTOPTD_RUTH_1103;I will not go...;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1104;At the end of the night the group divides all what they've been given today. Since you are a great lord it is for you to decide what to do with all of this money...;;;;;;;;;;;;;x
EVTOPTA_RUTH_1104;The same amount for everyone.;;;;;;;;;;;;;x
EVTOPTB_RUTH_1104;I will take all of money.;;;;;;;;;;;;;x
EVTOPTC_RUTH_1104;Give it all for charity.;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1105;The door opens and very old man stands before you. There is no debt he has nothing to offer you for the carol.;;;;;;;;;;;;;x
EVTOPTA_RUTH_1105;It is a celebration for everyone. Here, take this coin old man!;;;;;;;;;;;;;x
EVTOPTB_RUTH_1105;Let us hope his neighbours prove more generous...;;;;;;;;;;;;;x
EVTOPTC_RUTH_1105;If you don't have money that obviously we will take something costly in exchange!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1106;While playing with snowballs one of kids missed his target and accidentally hit you. The surprise and shock knocked you face down into the snow. When you arose everyone laughed at you.;;;;;;;;;;;;;x
EVTOPTA_RUTH_1106;Nice shot kid! But what will you say about this one!;;;;;;;;;;;;;x
EVTOPTB_RUTH_1106;Punish this stupid kid!;;;;;;;;;;;;;x
EVTOPTC_RUTH_1106;You think this is funny? I'll see how you will smile in a jail!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_1107;At the end of celebration it is time to gather your family together and spend Velja Noc together...;;;;;;;;;;;;;x
EVTOPTA_RUTH_1107;I'm exited to see all of you again!;;;;;;;;;;;;;x
EVTOPTB_RUTH_1107;The feast? I like the feasts!;;;;;;;;;;;;;x
EVTOPTC_RUTH_1107;Uncork the best wines!;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_3002;For too long have I been gone from home. The Norse manners have become strange to me. I still call myself a Varangian but I feel closer to the Slavs now than the Norse. What has happened?;;;;;;;;;;;;;x
EVTOPTA_RUTH_3002;I must not forget the Old Ways!;;;;;;;;;;;;;;x
EVTOPTB_RUTH_3002;I am Rus!;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
EVTDESC_RUTH_3003;The people of [Root.GetName] no longer practice true Norse ways. They still live the Varangian life but they have become... different.\nThey call themselves Rus.;;;;;;;;;;x
EVTOPTA_RUTH_3003;A strange occurence...;;;;;;;;;;;;x
EVTOPTB_RUTH_3003;A good day!;;;;;;;;;;;x
